558340	DSName	XSec	FiltEff	kFactor
512048	MGPy8EG_A14NNPDF23_WH_LLP_H200_S80_ctau2000			
512049	MGPy8EG_A14NNPDF23_WH_LLP_H400_S100_ctau1250			
512050	MGPy8EG_A14NNPDF23_WH_LLP_H400_S175_ctau2500			
512051	MGPy8EG_A14NNPDF23_WH_LLP_H600_S50_ctau400			
512052	MGPy8EG_A14NNPDF23_WH_LLP_H600_S150_ctau1500			
512053	MGPy8EG_A14NNPDF23_WH_LLP_H600_S150_ctau3500			
512054	MGPy8EG_A14NNPDF23_WH_LLP_H600_S275_ctau2500			
512055	MGPy8EG_A14NNPDF23_WH_LLP_H1000_S50_ctau300			
512056	MGPy8EG_A14NNPDF23_WH_LLP_H1000_S275_ctau1500			
512057	MGPy8EG_A14NNPDF23_WH_LLP_H1000_S275_ctau3500			
512058	MGPy8EG_A14NNPDF23_WH_LLP_H1000_S475_ctau4500			
512061	MGPy8EG_A14N23LO_LL_ALP_W_ma0p1	3.6301	1	1
512062	MGPy8EG_A14N23LO_LL_ALP_W_ma0p1_highctau	3.6308	1	1
512063	MGPy8EG_A14N23LO_LL_ALP_W_ma1	3.6216	1	1
512064	MGPy8EG_A14N23LO_LL_ALP_W_ma10	3.1666	1	1
512065	MGPy8EG_A14N23LO_LL_ALP_W_ma10_highctau	3.1675	1	1
512066	MGPy8EG_A14N23LO_LL_ALP_W_ma40	1.9858	1	1
514983	MGPy8EG_A14N23LO_HNL1_ctau0p1_mumumu	368.38	1	1
514984	MGPy8EG_A14N23LO_HNL1_ctau1_mumumu	3683.8	1	1
514985	MGPy8EG_A14N23LO_HNL1_ctau10_mumumu	36838	1	1
514986	MGPy8EG_A14N23LO_HNL1_ctau100_mumumu	368380	1	1
514987	MGPy8EG_A14N23LO_HNL1_ctau1000_mumumu	3684500	1	1
514988	MGPy8EG_A14N23LO_HNL2_ctau0p1_mumumu	11793	1	1
514989	MGPy8EG_A14N23LO_HNL2_ctau1_mumumu	117930	1	1
514990	MGPy8EG_A14N23LO_HNL2_ctau10_mumumu	1180000	1	1
514991	MGPy8EG_A14N23LO_HNL2_ctau100_mumumu	11800000	1	1
514992	MGPy8EG_A14N23LO_HNL2_ctau1000_mumumu	118000000	1	1
514993	MGPy8EG_A14N23LO_HNL3_ctau0p1_mumumu	88938	1	1
514994	MGPy8EG_A14N23LO_HNL3_ctau1_mumumu	889370	1	1
514995	MGPy8EG_A14N23LO_HNL3_ctau10_mumumu	8893800	1	1
514996	MGPy8EG_A14N23LO_HNL3_ctau100_mumumu	88938000	1	1
514997	MGPy8EG_A14N23LO_HNL3_ctau1000_mumumu	888870000	1	1
514998	MGPy8EG_A14N23LO_HNL4_ctau0p1_mumumu	374450	1	1
514999	MGPy8EG_A14N23LO_HNL4_ctau1_mumumu	3744500	1	1
515000	MGPy8EG_A14N23LO_HNL4_ctau10_mumumu	37445000	1	1
515001	MGPy8EG_A14N23LO_HNL4_ctau100_mumumu	374450000	1	1
515002	MGPy8EG_A14N23LO_HNL4_ctau1000_mumumu	3744000000	1	1
515003	MGPy8EG_A14N23LO_HNL5_ctau0p1_mumumu	1147000	1	1
515004	MGPy8EG_A14N23LO_HNL5_ctau1_mumumu	11470000	1	1
515005	MGPy8EG_A14N23LO_HNL5_ctau10_mumumu	114700000	1	1
515006	MGPy8EG_A14N23LO_HNL5_ctau100_mumumu	1147000000	1	1
515007	MGPy8EG_A14N23LO_HNL5_ctau1000_mumumu	11460000000	1	1
515008	MGPy8EG_A14N23LO_HNL7p5_ctau0p1_mumumu	8633000	1	1
515009	MGPy8EG_A14N23LO_HNL7p5_ctau1_mumumu	86330000	1	1
515010	MGPy8EG_A14N23LO_HNL7p5_ctau10_mumumu	863300000	1	1
515011	MGPy8EG_A14N23LO_HNL7p5_ctau100_mumumu	8633000000	1	1
515012	MGPy8EG_A14N23LO_HNL10_ctau0p1_mumumu	36150000	1	1
515013	MGPy8EG_A14N23LO_HNL10_ctau1_mumumu	361500000	1	1
515014	MGPy8EG_A14N23LO_HNL10_ctau10_mumumu	3615000000	1	1
515015	MGPy8EG_A14N23LO_HNL10_ctau100_mumumu	36062000000	1	1
515016	MGPy8EG_A14N23LO_HNL12p5_ctau0p1_mumumu	108850000	1	1
515017	MGPy8EG_A14N23LO_HNL12p5_ctau1_mumumu	1088500000	1	1
515018	MGPy8EG_A14N23LO_HNL12p5_ctau10_mumumu	10885000000	1	1
515019	MGPy8EG_A14N23LO_HNL12p5_ctau100_mumumu	108850000000	1	1
515020	MGPy8EG_A14N23LO_HNL15_ctau0p1_mumumu	269350000	1	1
515021	MGPy8EG_A14N23LO_HNL15_ctau1_mumumu	2693500000	1	1
515022	MGPy8EG_A14N23LO_HNL15_ctau10_mumumu	26935000000	1	1
515023	MGPy8EG_A14N23LO_HNL15_ctau100_mumumu	269350000000	1	1
