"DSName","DSID","PhysicsShort","CoMEnergy","XSec","FiltEff","kFactor","Events","GenEvents","GenName","GenTune","PDF","Keywords","PhysComment","Release","Generator","Filters","JobOptions"
"mc15_13TeV.600960.PhH7EG_jj_JZ4.evgen.EVNT.e7954","600960","PhH7EG_jj_JZ4","13000.0","170720000.0","1.465276e-05","1.0","10000000","274940000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600960/mc.PhH7EG_jj_JZ4.py"">link</a>"
"mc15_13TeV.600961.PhH7EG_jj_JZ5.evgen.EVNT.e7954","600961","PhH7EG_jj_JZ5","13000.0","5179000.0","9.173054e-06","1.0","10000000","87970000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600961/mc.PhH7EG_jj_JZ5.py"">link</a>"
"mc15_13TeV.600962.PhH7EG_jj_JZ6.evgen.EVNT.e7954","600962","PhH7EG_jj_JZ6","13000.0","277340.0","6.190273e-06","1.0","480000","65135000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600962/mc.PhH7EG_jj_JZ6.py"">link</a>"
"mc15_13TeV.600963.PhH7EG_jj_JZ7.evgen.EVNT.e7954","600963","PhH7EG_jj_JZ7","13000.0","26526.0","4.75848e-06","1.0","40000","20800000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600963/mc.PhH7EG_jj_JZ7.py"">link</a>"
"mc15_13TeV.600964.PhH7EG_jj_JZ8incl.evgen.EVNT.e7954","600964","PhH7EG_jj_JZ8incl","13000.0","76.878","5.961059e-05","1.0","10000","14950000","Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0)","H7.1-Default","NNPDF30_nlo_as_0118 (ME); MMHT2014lo68cl (shower/MPI)","sm, qcd, jets, 2jet, Alternative","POWHEG+Herwig716 dijet production.","AthGeneration_21.6.17","","QCDTruthJetFilter","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/600xxx/600964/mc.PhH7EG_jj_JZ8incl.py"">link</a>"
"mc15_13TeV.601183.PhPy8EG_AZNLO_Wplusenu.evgen.EVNT.e8392","601183","PhPy8EG_AZNLO_Wplusenu","13000.0","11389.0","1.0","1.0","10000000","29950000","Powheg(v.2_r3781)+Pythia8(v.245p3.lhcb7)+EvtGen(v.1.7.0)+Photospp(v.3.61)","AZNLO CTEQ6L1","NULL","sm, w, electron, Alternative","POWHEG+Pythia8 W+enu production, AZNLO","AthGeneration_21.6.83","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/601xxx/601183/mc.PhPy8EG_AZNLO_Wplusenu.py"">link</a>"
"mc15_13TeV.601184.PhPy8EG_AZNLO_Wplusmunu.evgen.EVNT.e8392","601184","PhPy8EG_AZNLO_Wplusmunu","13000.0","11389.0","1.0","1.0","10000000","29990000","Powheg(v.2_r3781)+Pythia8(v.245p3.lhcb7)+EvtGen(v.1.7.0)+Photospp(v.3.61)","AZNLO CTEQ6L1","NULL","sm, w, muon, Alternative","POWHEG+Pythia8 W+munu production, AZNLO","AthGeneration_21.6.83","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/601xxx/601184/mc.PhPy8EG_AZNLO_Wplusmunu.py"">link</a>"
"mc15_13TeV.601185.PhPy8EG_AZNLO_Wplustaunu.evgen.EVNT.e8392","601185","PhPy8EG_AZNLO_Wplustaunu","13000.0","11379.0","1.0","1.0","10000000","30000000","Powheg(v.2_r3781)+Pythia8(v.245p3.lhcb7)+EvtGen(v.1.7.0)","AZNLO CTEQ6L1","NULL","sm, w, tau, Alternative","POWHEG+Pythia8 W+taunu production, AZNLO","AthGeneration_21.6.83","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/601xxx/601185/mc.PhPy8EG_AZNLO_Wplustaunu.py"">link</a>"
"mc15_13TeV.601186.PhPy8EG_AZNLO_Wminusenu.evgen.EVNT.e8392","601186","PhPy8EG_AZNLO_Wminusenu","13000.0","8341.1","1.0","1.0","10000000","19990000","Powheg(v.2_r3781)+Pythia8(v.245p3.lhcb7)+EvtGen(v.1.7.0)+Photospp(v.3.61)","AZNLO CTEQ6L1","NULL","sm, w, electron, Alternative","POWHEG+Pythia8 W-enu production, AZNLO","AthGeneration_21.6.83","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/601xxx/601186/mc.PhPy8EG_AZNLO_Wminusenu.py"">link</a>"
"mc15_13TeV.601187.PhPy8EG_AZNLO_Wminusmunu.evgen.EVNT.e8392","601187","PhPy8EG_AZNLO_Wminusmunu","13000.0","8343.7","1.0","1.0","10000000","20000000","Powheg(v.2_r3781)+Pythia8(v.245p3.lhcb7)+EvtGen(v.1.7.0)+Photospp(v.3.61)","AZNLO CTEQ6L1","NULL","sm, w, muon, Alternative","POWHEG+Pythia8 W-munu production, AZNLO","AthGeneration_21.6.83","","","<a href=""https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/601xxx/601187/mc.PhPy8EG_AZNLO_Wminusmunu.py"">link</a>"
